iter	Passed	Remaining
0	90	181747
1	115	115346
2	152	101444
3	177	88544
4	215	86002
5	266	88502
6	316	89974
7	359	89617
8	405	89724
9	461	91786
10	505	91455
11	548	90860
12	602	92071
13	653	92739
14	700	92753
15	755	93682
16	809	94451
17	869	95701
18	919	95870
19	978	96903
20	1052	99156
21	1099	98823
22	1159	99633
23	1214	99994
24	1264	99884
25	1319	100214
26	1368	100008
27	1403	98854
28	1450	98568
29	1492	98004
30	1521	96643
31	1574	96837
32	1619	96551
33	1670	96594
34	1697	95304
35	1752	95601
36	1797	95373
37	1850	95550
38	1887	94891
39	1938	94966
40	1982	94738
41	2035	94900
42	2092	95235
43	2155	95826
44	2209	95998
45	2264	96201
46	2320	96415
47	2366	96239
48	2409	95950
49	2450	95574
50	2501	95579
51	2558	95842
52	2604	95676
53	2651	95543
54	2698	95445
55	2747	95380
56	2805	95619
57	2852	95517
58	2898	95348
59	2945	95246
60	2996	95261
61	3045	95181
62	3099	95303
63	3148	95248
64	3197	95200
65	3247	95173
66	3295	95084
67	3344	95032
68	3381	94645
69	3430	94581
70	3469	94261
71	3515	94128
72	3557	93908
73	3593	93531
74	3640	93436
75	3680	93167
76	3727	93098
77	3768	92862
78	3809	92641
79	3857	92577
80	3908	92607
81	3950	92414
82	3990	92171
83	4032	91986
84	4080	91935
85	4129	91901
86	4171	91720
87	4212	91533
88	4254	91343
89	4303	91321
90	4345	91169
91	4395	91157
92	4436	90964
93	4480	90857
94	4531	90870
95	4580	90839
96	4624	90725
97	4662	90487
98	4699	90246
99	4745	90158
100	4793	90136
101	4837	90014
102	4878	89843
103	4911	89546
104	4960	89526
105	5008	89487
106	5053	89410
107	5093	89237
108	5132	89036
109	5178	88980
110	5229	88998
111	5268	88808
112	5310	88682
113	5349	88508
114	5394	88420
115	5438	88333
116	5486	88305
117	5562	88718
118	5678	89759
119	5724	89690
120	5784	89821
121	5846	89999
122	5898	90009
123	5949	90006
124	5987	89808
125	6030	89684
126	6072	89558
127	6111	89383
128	6161	89368
129	6200	89198
130	6244	89086
131	6286	88967
132	6332	88889
133	6367	88665
134	6412	88583
135	6450	88403
136	6492	88292
137	6539	88239
138	6586	88178
139	6631	88108
140	6671	87955
141	6712	87832
142	6753	87696
143	6802	87674
144	6844	87562
145	6887	87464
146	6927	87328
147	6965	87165
148	7014	87138
149	7061	87095
150	7100	86941
151	7137	86773
152	7181	86700
153	7228	86644
154	7272	86561
155	7314	86459
156	7350	86281
157	7398	86251
158	7442	86172
159	7484	86075
160	7526	85967
161	7566	85852
162	7615	85825
163	7679	85977
164	7725	85913
165	7773	85884
166	7812	85749
167	7861	85725
168	7910	85708
169	7946	85542
170	7988	85444
171	8027	85317
172	8073	85266
173	8121	85225
174	8173	85240
175	8227	85262
176	8282	85307
177	8339	85358
178	8395	85413
179	8446	85398
180	8487	85293
181	8540	85315
182	8595	85342
183	8637	85251
184	8674	85105
185	8721	85057
186	8768	85010
187	8820	85018
188	8868	84974
189	8923	85004
190	8974	85001
191	9032	85051
192	9087	85086
193	9145	85135
194	9201	85169
195	9261	85245
196	9308	85191
197	9365	85239
198	9423	85282
199	9471	85243
200	9512	85140
201	9550	85004
202	9595	84943
203	9640	84873
204	9682	84785
205	9726	84709
206	9761	84550
207	9797	84409
208	9856	84464
209	9893	84331
210	9940	84281
211	9981	84182
212	10027	84126
213	10071	84053
214	10112	83957
215	10155	83879
216	10199	83805
217	10249	83780
218	10291	83690
219	10342	83681
220	10392	83654
221	10443	83639
222	10497	83651
223	10547	83630
224	10605	83664
225	10650	83600
226	10700	83576
227	10756	83600
228	10807	83584
229	10845	83460
230	10889	83389
231	10935	83335
232	10980	83276
233	11026	83215
234	11063	83092
235	11097	82945
236	11134	82825
237	11183	82793
238	11236	82790
239	11281	82730
240	11326	82672
241	11379	82667
242	11428	82635
243	11496	82735
244	11563	82830
245	11623	82875
246	11672	82843
247	11723	82818
248	11773	82794
249	11840	82881
250	11898	82912
251	11950	82891
252	11995	82829
253	12037	82743
254	12077	82646
255	12130	82636
256	12179	82602
257	12225	82543
258	12262	82428
259	12297	82300
260	12341	82226
261	12395	82226
262	12524	82718
263	12574	82685
264	12622	82640
265	12659	82523
266	12691	82374
267	12733	82289
268	12776	82215
269	12828	82194
270	12883	82196
271	12947	82256
272	12999	82237
273	13063	82290
274	13101	82184
275	13154	82171
276	13192	82059
277	13225	81922
278	13266	81834
279	13305	81731
280	13356	81706
281	13391	81582
282	13446	81579
283	13487	81493
284	13543	81499
285	13583	81407
286	13624	81318
287	13664	81230
288	13699	81105
289	13743	81041
290	13785	80961
291	13827	80882
292	13872	80822
293	13917	80758
294	13958	80677
295	14004	80620
296	14044	80530
297	14091	80482
298	14143	80462
299	14191	80418
300	14232	80338
301	14274	80258
302	14322	80214
303	14371	80179
304	14414	80106
305	14454	80017
306	14491	79917
307	14539	79872
308	14588	79834
309	14622	79717
310	14666	79651
311	14702	79543
312	14738	79437
313	14781	79366
314	14835	79357
315	14875	79272
316	14908	79150
317	14962	79139
318	14995	79019
319	15044	78982
320	15091	78935
321	15138	78890
322	15172	78774
323	15226	78763
324	15265	78675
325	15310	78616
326	15350	78536
327	15389	78446
328	15433	78389
329	15477	78325
330	15525	78282
331	15562	78185
332	15602	78108
333	15643	78029
334	15691	77988
335	15727	77888
336	15771	77828
337	15810	77745
338	15858	77704
339	15904	77652
340	15952	77612
341	15990	77518
342	16033	77456
343	16074	77383
344	16122	77342
345	16162	77263
346	16199	77168
347	16232	77057
348	16277	77002
349	16320	76937
350	16366	76891
351	16404	76801
352	16446	76735
353	16483	76642
354	16518	76543
355	16561	76478
356	16600	76401
357	16632	76284
358	16673	76215
359	16716	76153
360	16749	76045
361	16782	75939
362	16810	75811
363	16860	75779
364	16882	75625
365	16913	75508
366	16963	75478
367	17004	75410
368	17051	75368
369	17086	75270
370	17121	75179
371	17164	75116
372	17198	75017
373	17244	74973
374	17293	74936
375	17335	74875
376	17367	74768
377	17403	74677
378	17456	74664
379	17497	74593
380	17535	74513
381	17580	74462
382	17617	74380
383	17666	74346
384	17699	74248
385	17751	74226
386	17793	74163
387	17840	74120
388	17885	74070
389	17924	73995
390	17967	73937
391	18006	73861
392	18050	73808
393	18099	73776
394	18140	73711
395	18178	73633
396	18211	73534
397	18262	73507
398	18307	73457
399	18354	73417
400	18396	73356
401	18441	73305
402	18478	73226
403	18516	73149
404	18558	73088
405	18598	73021
406	18643	72971
407	18686	72913
408	18726	72845
409	18759	72748
410	18797	72672
411	18838	72610
412	18881	72554
413	18934	72535
414	18971	72457
415	19003	72358
416	19048	72310
417	19092	72258
418	19138	72215
419	19182	72162
420	19226	72110
421	19265	72040
422	19308	71983
423	19343	71899
424	19386	71845
425	19436	71815
426	19477	71751
427	19521	71699
428	19566	71652
429	19611	71604
430	19645	71515
431	19666	71381
432	19713	71341
433	19748	71256
434	19782	71172
435	19825	71118
436	19851	71001
437	19892	70942
438	19924	70847
439	19955	70751
440	19997	70693
441	20045	70657
442	20087	70602
443	20125	70530
444	20149	70410
445	20199	70380
446	20239	70316
447	20287	70280
448	20327	70218
449	20358	70123
450	20406	70087
451	20442	70009
452	20489	69971
453	20528	69906
454	20561	69818
455	20609	69784
456	20655	69742
457	20701	69696
458	20737	69623
459	20773	69544
460	20813	69483
461	20856	69429
462	20904	69394
463	20942	69326
464	20984	69272
465	21025	69213
466	21065	69152
467	21112	69111
468	21148	69035
469	21197	69003
470	21229	68917
471	21263	68835
472	21315	68814
473	21357	68757
474	21402	68712
475	21440	68645
476	21477	68575
477	21523	68533
478	21557	68452
479	21600	68402
480	21638	68333
481	21677	68269
482	21721	68222
483	21765	68174
484	21802	68103
485	21840	68037
486	21880	67977
487	21921	67920
488	21963	67866
489	22000	67797
490	22036	67725
491	22068	67640
492	22110	67588
493	22157	67549
494	22204	67511
495	22244	67450
496	22285	67395
497	22323	67327
498	22354	67243
499	22405	67216
500	22451	67174
501	22493	67121
502	22534	67066
503	22584	67037
504	22617	66956
505	22655	66891
506	22694	66830
507	22719	66726
508	22750	66641
509	22794	66595
510	22830	66527
511	22865	66451
512	22910	66408
513	22952	66356
514	22995	66307
515	23042	66270
516	23088	66227
517	23114	66130
518	23151	66063
519	23192	66010
520	23246	65992
521	23287	65936
522	23328	65882
523	23369	65826
524	23408	65767
525	23445	65699
526	23494	65667
527	23529	65598
528	23567	65535
529	23610	65484
530	23651	65431
531	23697	65391
532	23739	65337
533	23779	65280
534	23814	65211
535	23864	65181
536	23902	65119
537	23933	65038
538	23967	64964
539	24001	64893
540	24042	64839
541	24084	64788
542	24134	64757
543	24173	64699
544	24211	64637
545	24245	64564
546	24290	64523
547	24342	64498
548	24381	64439
549	24405	64342
550	24442	64279
551	24477	64208
552	24521	64164
553	24549	64078
554	24589	64021
555	24618	63938
556	24658	63881
557	24695	63819
558	24729	63748
559	24779	63718
560	24819	63663
561	24860	63611
562	24891	63533
563	24929	63473
564	24964	63405
565	25007	63359
566	25046	63300
567	25082	63236
568	25124	63187
569	25164	63131
570	25210	63093
571	25253	63046
572	25282	62963
573	25317	62896
574	25360	62849
575	25407	62813
576	25445	62754
577	25488	62706
578	25527	62650
579	25562	62583
580	25613	62556
581	25679	62567
582	25720	62513
583	25758	62456
584	25802	62410
585	25845	62364
586	25916	62384
587	26006	62451
588	26072	62457
589	26115	62411
590	26156	62359
591	26194	62299
592	26243	62267
593	26291	62231
594	26336	62188
595	26377	62138
596	26420	62090
597	26459	62033
598	26506	61996
599	26553	61958
600	26590	61898
601	26631	61844
602	26670	61788
603	26714	61744
604	26764	61712
605	26802	61653
606	26841	61597
607	26874	61529
608	26913	61473
609	26963	61440
610	27006	61394
611	27045	61337
612	27089	61294
613	27136	61255
614	27179	61209
615	27215	61145
616	27249	61078
617	27291	61029
618	27329	60972
619	27373	60929
620	27417	60883
621	27456	60827
622	27503	60789
623	27544	60739
624	27588	60695
625	27624	60631
626	27661	60572
627	27706	60530
628	27744	60473
629	27794	60441
630	27831	60381
631	27872	60330
632	27916	60287
633	27960	60242
634	28006	60203
635	28047	60152
636	28089	60104
637	28135	60064
638	28177	60015
639	28222	59973
640	28253	59900
641	28291	59843
642	28326	59781
643	28366	59728
644	28404	59672
645	28448	59628
646	28497	59593
647	28536	59539
648	28570	59473
649	28616	59435
650	28666	59401
651	28709	59356
652	28744	59293
653	28777	59227
654	28827	59196
655	28864	59136
656	28907	59090
657	28946	59035
658	28985	58982
659	29031	58943
660	29080	58908
661	29117	58850
662	29147	58778
663	29193	58738
664	29231	58683
665	29277	58643
666	29316	58590
667	29356	58536
668	29401	58495
669	29444	58450
670	29493	58415
671	29532	58361
672	29564	58293
673	29601	58237
674	29645	58192
675	29699	58168
676	29736	58111
677	29770	58047
678	29819	58014
679	29860	57965
680	29903	57919
681	29937	57854
682	29976	57801
683	30017	57753
684	30060	57707
685	30108	57671
686	30145	57613
687	30191	57573
688	30225	57512
689	30262	57455
690	30307	57412
691	30348	57364
692	30385	57306
693	30419	57245
694	30462	57200
695	30504	57152
696	30542	57097
697	30576	57034
698	30615	56982
699	30648	56918
700	30695	56879
701	30734	56828
702	30780	56788
703	30824	56745
704	30860	56687
705	30908	56650
706	30956	56615
707	31000	56570
708	31035	56511
709	31069	56449
710	31113	56406
711	31153	56355
712	31202	56321
713	31244	56274
714	31286	56228
715	31325	56175
716	31369	56133
717	31413	56088
